SR NO ,Job Title,Company,Skills,Location,Job Type,Salary
310,Frontend Developer,City Hospital,"legal documentation, compliance, case review",Hyderabad,Part-time,1984797
311,ML Engineer,BrightFuture School,"prescription handling, pharma knowledge",Delhi,Full-time,551591
312,Software Engineer,HealthFirst Clinic,"autocad, site planning, structural analysis",Mumbai,Internship,1420025
313,Blockchain Developer,PharmaCare,"salesforce, CRM, negotiation",Hyderabad,Internship,1155791
314,Customer Support Specialist,CloudNet,"curriculum planning, classroom management, communication",Hyderabad,Internship,1131529
315,Hotel Receptionist,CreativeHub Agency,"legal documentation, compliance, case review",Hyderabad,Part-time,1197942
316,Technical Writer,City Hospital,"typing, accuracy, database entry",Bangalore,Internship,2107530
317,Cloud Architect,InnovateX,"python, pandas, numpy",Remote,Internship,657742
318,Financial Analyst,HealthFirst Clinic,"inventory, hospitality management, POS systems",Delhi,Part-time,2403270
319,Business Analyst,DataWiz,"salesforce, CRM, negotiation",Remote,Part-time,1450179
320,Graphic Designer,InnovateX,"inventory, hospitality management, POS systems",Delhi,Contract,2469308
321,Customer Support Specialist,HealthFirst Clinic,"excel, financial modeling, data interpretation",Remote,Internship,1408529
322,Database Administrator,FinEdge Solutions,"aws, docker, kubernetes",Bangalore,Contract,556246
323,Network Engineer,DreamWeddings Inc.,"node.js, express, mongodb",Bangalore,Contract,1647080
324,Backend Engineer,HealthFirst Clinic,"aws, docker, kubernetes",Remote,Contract,1330926
325,Backend Engineer,PharmaCare,"curriculum planning, classroom management, communication",Remote,Internship,1654562
326,Blockchain Developer,Global Travels,"aws, docker, kubernetes",Mumbai,Contract,2479964
327,Business Analyst,CreativeHub Agency,"event coordination, client management, budgeting",Hyderabad,Internship,862721
328,UI/UX Designer,TechNova,"salesforce, CRM, negotiation",Pune,Internship,2371911
329,Frontend Developer,BrightFuture School,"customer service, ticketing, troubleshooting",Pune,Internship,1536313
330,ML Engineer,FinEdge Solutions,"adobe photoshop, illustrator, creativity",Bangalore,Contract,2061650
331,Marketing Manager,InnovateX,"adobe photoshop, illustrator, creativity",Pune,Internship,1269253
332,Operations Manager,FinEdge Solutions,"salesforce, CRM, negotiation",Mumbai,Contract,888079
333,AI Researcher,HealthFirst Clinic,"client relations, campaign strategy, presentations",Remote,Contract,533190
334,Hotel Receptionist,CloudNet,"test case writing, selenium, bug tracking",Mumbai,Internship,1978564
335,DevOps Engineer,EduWise Academy,"react, javascript, css",Pune,Full-time,1903153
336,Technical Writer,DevSolutions,"test case writing, selenium, bug tracking",Hyderabad,Contract,728692
337,Business Analyst,EduWise Academy,"aws, docker, kubernetes",Pune,Internship,2045671
338,Technical Writer,DataWiz,"patient care, diagnosis, medical documentation",Mumbai,Full-time,1513626
339,Account Director,DevSolutions,"test case writing, selenium, bug tracking",Mumbai,Full-time,1079165
340,Frontend Developer,DesignCrafters,"curriculum planning, classroom management, communication",Pune,Contract,1911681
341,Data Scientist,PharmaCare,"test case writing, selenium, bug tracking",Pune,Contract,537153
342,Frontend Developer,BuildRight Infra,"patient care, diagnosis, medical documentation",Remote,Part-time,1672480
343,Operations Manager,DataWiz,"legal documentation, compliance, case review",Remote,Full-time,515471
344,Backend Engineer,TechNova,"node.js, express, mongodb",Bangalore,Internship,2180301
345,Cybersecurity Analyst,DreamWeddings Inc.,"node.js, express, mongodb",Hyderabad,Internship,767215
346,DevOps Engineer,CreativeHub Agency,"inventory, hospitality management, POS systems",Delhi,Full-time,791812
347,Business Analyst,Global Travels,"check-in, phone etiquette, scheduling",Pune,Contract,2409691
348,Marketing Manager,DevSolutions,"legal documentation, compliance, case review",Hyderabad,Contract,783144
349,Graphic Designer,BrightFuture School,"sql, data visualization, problem solving",Bangalore,Part-time,796174
350,Operations Manager,FinEdge Solutions,"python, pandas, numpy",Hyderabad,Full-time,2321181
351,Data Scientist,DreamWeddings Inc.,"customer service, ticketing, troubleshooting",Hyderabad,Internship,682247
352,Pharmacist,FinEdge Solutions,"event coordination, client management, budgeting",Pune,Contract,838664
353,Network Engineer,HealthFirst Clinic,"salesforce, CRM, negotiation",Mumbai,Part-time,1296465
354,Civil Engineer,CreativeHub Agency,"node.js, express, mongodb",Mumbai,Full-time,951627
355,Data Scientist,CloudNet,"client relations, campaign strategy, presentations",Hyderabad,Internship,1939083
356,Product Manager,InnovateX,"excel, financial modeling, data interpretation",Pune,Internship,1295789
357,Blockchain Developer,EduWise Academy,"react, javascript, css",Mumbai,Contract,552171
358,Pharmacist,TechNova,"patient care, diagnosis, medical documentation",Bangalore,Full-time,2231541
359,Mobile App Developer,Global Travels,"typing, accuracy, database entry",Hyderabad,Full-time,1737357
360,Blockchain Developer,DataWiz,"python, pandas, numpy",Hyderabad,Part-time,967079
361,Financial Analyst,CloudNet,"check-in, phone etiquette, scheduling",Mumbai,Full-time,1295762
362,Cloud Architect,BrightFuture School,"event coordination, client management, budgeting",Hyderabad,Internship,509254
363,Restaurant Manager,City Hospital,"node.js, express, mongodb",Hyderabad,Full-time,932714
364,Cybersecurity Analyst,Global Travels,"test case writing, selenium, bug tracking",Pune,Full-time,1862316
365,Sales Executive,DreamWeddings Inc.,"figma, user testing, wireframing",Mumbai,Full-time,1753098
366,Backend Engineer,CloudNet,"curriculum planning, classroom management, communication",Delhi,Contract,1052523
367,Marketing Manager,CloudNet,"autocad, site planning, structural analysis",Delhi,Contract,955602
368,Civil Engineer,PharmaCare,"inventory, hospitality management, POS systems",Pune,Internship,908513
369,AI Researcher,DevSolutions,"curriculum planning, classroom management, communication",Bangalore,Full-time,1778446
370,Account Director,BizConsult,"python, pandas, numpy",Delhi,Internship,2158062
371,Software Engineer,BizConsult,"excel, financial modeling, data interpretation",Remote,Full-time,1026157
372,Sales Executive,FinEdge Solutions,"node.js, express, mongodb",Bangalore,Full-time,2345222
373,Customer Support Specialist,DreamWeddings Inc.,"typing, accuracy, database entry",Bangalore,Part-time,1178924
374,Data Scientist,DataWiz,"check-in, phone etiquette, scheduling",Remote,Internship,506646
375,AI Researcher,TechNova,"adobe photoshop, illustrator, creativity",Bangalore,Full-time,610063
376,Civil Engineer,BrightFuture School,"node.js, express, mongodb",Delhi,Full-time,2304844
377,ML Engineer,InnovateX,"python, pandas, numpy",Hyderabad,Part-time,1221332
378,Marketing Manager,BizConsult,"client relations, campaign strategy, presentations",Pune,Full-time,2436973
379,Legal Advisor,HealthFirst Clinic,"curriculum planning, classroom management, communication",Delhi,Contract,1922628
380,Frontend Developer,Global Travels,"inventory, hospitality management, POS systems",Mumbai,Contract,790441
381,Network Engineer,DevSolutions,"patient care, diagnosis, medical documentation",Bangalore,Contract,660182
382,ML Engineer,BizConsult,"java, spring, hibernate",Pune,Internship,1783337
383,UI/UX Designer,BizConsult,"prescription handling, pharma knowledge",Pune,Full-time,2360845
384,System Administrator,InnovateX,"inventory, hospitality management, POS systems",Delhi,Full-time,1233518
385,Blockchain Developer,TechNova,"prescription handling, pharma knowledge",Delhi,Full-time,1501077
386,Financial Analyst,DreamWeddings Inc.,"prescription handling, pharma knowledge",Remote,Part-time,1633136
387,UX Designer,City Hospital,"sql, data visualization, problem solving",Pune,Full-time,1290428
388,AI Researcher,HealthFirst Clinic,"sql, data visualization, problem solving",Mumbai,Full-time,605688
389,Pharmacist,DataWiz,"legal documentation, compliance, case review",Bangalore,Full-time,1865356
390,System Administrator,BizConsult,"react, javascript, css",Remote,Internship,845865
391,QA Analyst,CreativeHub Agency,"autocad, site planning, structural analysis",Pune,Internship,2293881
392,HR Coordinator,TechNova,"patient care, diagnosis, medical documentation",Remote,Part-time,2089475
393,Account Director,FinEdge Solutions,"client relations, campaign strategy, presentations",Pune,Contract,927099
394,Restaurant Manager,CloudNet,"sql, data analysis, tableau",Hyderabad,Contract,1996371
395,Software Engineer,DreamWeddings Inc.,"prescription handling, pharma knowledge",Bangalore,Contract,2251143
396,Marketing Manager,City Hospital,"sql, data visualization, problem solving",Delhi,Contract,871924
397,Data Entry Clerk,CreativeHub Agency,"client relations, campaign strategy, presentations",Bangalore,Internship,1572289
398,Blockchain Developer,EduWise Academy,"autocad, site planning, structural analysis",Mumbai,Internship,837146
399,Backend Engineer,InnovateX,"test case writing, selenium, bug tracking",Hyderabad,Part-time,1387466
400,Teacher,City Hospital,"python, pandas, numpy",Hyderabad,Part-time,962036
401,Business Analyst,TechNova,"node.js, express, mongodb",Delhi,Contract,1127784
402,HR Coordinator,HealthFirst Clinic,"customer service, ticketing, troubleshooting",Hyderabad,Full-time,1507539
403,HR Coordinator,DevSolutions,"event coordination, client management, budgeting",Mumbai,Part-time,1698048
404,Legal Advisor,BrightFuture School,"test case writing, selenium, bug tracking",Delhi,Internship,1401246
405,Restaurant Manager,HealthFirst Clinic,"legal documentation, compliance, case review",Pune,Contract,1904748
406,Software Engineer,DataWiz,"prescription handling, pharma knowledge",Pune,Part-time,1754481
407,HR Coordinator,InnovateX,"typing, accuracy, database entry",Delhi,Full-time,1305492
408,Technical Writer,HealthFirst Clinic,"figma, user testing, wireframing",Hyderabad,Full-time,1888639
409,Frontend Developer,PharmaCare,"figma, user testing, wireframing",Remote,Part-time,1923049
410,Marketing Manager,PharmaCare,"customer service, ticketing, troubleshooting",Hyderabad,Full-time,2306187
411,QA Analyst,DataWiz,"legal documentation, compliance, case review",Pune,Full-time,533779
412,Account Director,Global Travels,"customer service, ticketing, troubleshooting",Delhi,Internship,1317286
413,Data Scientist,InnovateX,"prescription handling, pharma knowledge",Pune,Full-time,645223
414,Backend Engineer,FinEdge Solutions,"sql, data visualization, problem solving",Mumbai,Contract,1506446
415,Wedding Manager,BuildRight Infra,"aws, docker, kubernetes",Hyderabad,Part-time,682562
416,Pharmacist,Global Travels,"excel, financial modeling, data interpretation",Delhi,Contract,932981
417,Pharmacist,DreamWeddings Inc.,"sql, data visualization, problem solving",Delhi,Full-time,902936
418,Business Analyst,PharmaCare,"react, javascript, css",Pune,Part-time,1607521
419,Operations Manager,DreamWeddings Inc.,"figma, user testing, wireframing",Pune,Internship,1717170
420,Mobile App Developer,DreamWeddings Inc.,"react, javascript, css",Mumbai,Contract,1589322
421,Graphic Designer,InnovateX,"inventory, hospitality management, POS systems",Hyderabad,Part-time,1094969
422,Frontend Developer,Global Travels,"figma, user testing, wireframing",Delhi,Contract,1932227
423,Marketing Manager,DataWiz,"sql, data visualization, problem solving",Remote,Full-time,2161161
424,Business Analyst,BuildRight Infra,"adobe photoshop, illustrator, creativity",Delhi,Internship,2492981
425,Network Engineer,TechNova,"customer service, ticketing, troubleshooting",Pune,Internship,1013562
426,UI/UX Designer,DevSolutions,"prescription handling, pharma knowledge",Mumbai,Internship,1216838
427,Marketing Manager,CreativeHub Agency,"salesforce, CRM, negotiation",Mumbai,Part-time,533898
428,Technical Writer,TechNova,"java, spring, hibernate",Pune,Contract,1657696
429,Web Developer,Global Travels,"sql, data analysis, tableau",Mumbai,Internship,2457609
430,Pharmacist,DreamWeddings Inc.,"check-in, phone etiquette, scheduling",Remote,Part-time,2016139
431,Customer Support Specialist,BizConsult,"prescription handling, pharma knowledge",Pune,Full-time,2450027
432,Product Manager,HealthFirst Clinic,"legal documentation, compliance, case review",Hyderabad,Internship,945440
433,Civil Engineer,InnovateX,"node.js, express, mongodb",Remote,Full-time,909300
434,Technical Writer,DataWiz,"legal documentation, compliance, case review",Pune,Contract,2397697
435,Financial Analyst,TechNova,"salesforce, CRM, negotiation",Bangalore,Full-time,1661211
436,Database Administrator,EduWise Academy,"curriculum planning, classroom management, communication",Remote,Internship,1141955
437,Frontend Developer,BuildRight Infra,"interviewing, HR software, conflict resolution",Delhi,Contract,2331940
438,Game Developer,CreativeHub Agency,"node.js, express, mongodb",Remote,Internship,1555615
439,Web Developer,BrightFuture School,"react, javascript, css",Delhi,Internship,1278336
440,Database Administrator,BizConsult,"sql, data visualization, problem solving",Mumbai,Contract,1267736
441,Restaurant Manager,DevSolutions,"inventory, hospitality management, POS systems",Pune,Part-time,807063
442,Hotel Receptionist,DesignCrafters,"autocad, site planning, structural analysis",Delhi,Full-time,1244344
443,ML Engineer,DreamWeddings Inc.,"sql, data visualization, problem solving",Bangalore,Contract,977627
444,QA Analyst,EduWise Academy,"patient care, diagnosis, medical documentation",Remote,Full-time,1392523
445,Data Scientist,BuildRight Infra,"react, javascript, css",Remote,Part-time,959484
446,Business Analyst,InnovateX,"client relations, campaign strategy, presentations",Pune,Internship,2057524
447,Financial Analyst,CreativeHub Agency,"patient care, diagnosis, medical documentation",Remote,Part-time,969948
448,UI/UX Designer,DevSolutions,"figma, user testing, wireframing",Hyderabad,Full-time,1815104
449,ML Engineer,DesignCrafters,"java, spring, hibernate",Remote,Internship,1201688
450,Marketing Manager,City Hospital,"client relations, campaign strategy, presentations",Hyderabad,Internship,2371096
451,Customer Support Specialist,FinEdge Solutions,"excel, financial modeling, data interpretation",Remote,Full-time,1362184
452,Backend Engineer,BrightFuture School,"patient care, diagnosis, medical documentation",Delhi,Contract,2151929
453,UI/UX Designer,EduWise Academy,"curriculum planning, classroom management, communication",Delhi,Contract,2472868
454,Civil Engineer,TechNova,"customer service, ticketing, troubleshooting",Hyderabad,Internship,1497804
455,Cybersecurity Analyst,DesignCrafters,"sql, data analysis, tableau",Hyderabad,Internship,869173
456,Civil Engineer,BuildRight Infra,"typing, accuracy, database entry",Mumbai,Part-time,1607825
457,Cloud Architect,CloudNet,"legal documentation, compliance, case review",Hyderabad,Contract,2293711
458,Legal Advisor,BuildRight Infra,"node.js, express, mongodb",Bangalore,Part-time,1624246
459,Account Director,CreativeHub Agency,"curriculum planning, classroom management, communication",Bangalore,Internship,847198
460,Product Manager,TechNova,"inventory, hospitality management, POS systems",Mumbai,Contract,1575487
461,Cloud Architect,HealthFirst Clinic,"customer service, ticketing, troubleshooting",Pune,Contract,1925407
462,ML Engineer,InnovateX,"prescription handling, pharma knowledge",Mumbai,Full-time,2474927
463,Civil Engineer,CloudNet,"aws, docker, kubernetes",Delhi,Full-time,1506713
464,Data Scientist,CreativeHub Agency,"adobe photoshop, illustrator, creativity",Bangalore,Part-time,1909094
465,Marketing Manager,BrightFuture School,"figma, user testing, wireframing",Mumbai,Contract,1183959
466,Wedding Manager,FinEdge Solutions,"sql, data analysis, tableau",Remote,Full-time,1580543
467,Data Entry Clerk,PharmaCare,"figma, user testing, wireframing",Bangalore,Full-time,2306473
468,Backend Engineer,FinEdge Solutions,"prescription handling, pharma knowledge",Hyderabad,Internship,768753
469,QA Analyst,FinEdge Solutions,"legal documentation, compliance, case review",Hyderabad,Part-time,807603
470,Financial Analyst,BizConsult,"prescription handling, pharma knowledge",Delhi,Full-time,1011509
471,Frontend Developer,FinEdge Solutions,"interviewing, HR software, conflict resolution",Hyderabad,Part-time,1633659
472,Financial Analyst,FinEdge Solutions,"python, pandas, numpy",Mumbai,Internship,562379
473,HR Coordinator,PharmaCare,"salesforce, CRM, negotiation",Remote,Part-time,857170
474,Backend Engineer,Global Travels,"react, javascript, css",Hyderabad,Full-time,1607339
475,Pharmacist,BuildRight Infra,"legal documentation, compliance, case review",Hyderabad,Part-time,2144769
476,Business Analyst,Global Travels,"event coordination, client management, budgeting",Pune,Full-time,1031713
477,Network Engineer,DataWiz,"aws, docker, kubernetes",Bangalore,Part-time,1165044
478,Teacher,TechNova,"excel, financial modeling, data interpretation",Bangalore,Part-time,2342985
479,Civil Engineer,City Hospital,"event coordination, client management, budgeting",Bangalore,Part-time,1239953
480,Network Engineer,Global Travels,"adobe photoshop, illustrator, creativity",Remote,Internship,670119
481,Sales Executive,BuildRight Infra,"client relations, campaign strategy, presentations",Bangalore,Contract,1112443
482,QA Analyst,CreativeHub Agency,"customer service, ticketing, troubleshooting",Delhi,Contract,936537
483,Business Analyst,BrightFuture School,"event coordination, client management, budgeting",Bangalore,Full-time,1088956
484,Civil Engineer,DataWiz,"salesforce, CRM, negotiation",Mumbai,Internship,1830700
485,Operations Manager,TechNova,"salesforce, CRM, negotiation",Mumbai,Full-time,546928
486,Business Analyst,InnovateX,"interviewing, HR software, conflict resolution",Bangalore,Part-time,1096988
487,Mobile App Developer,DreamWeddings Inc.,"patient care, diagnosis, medical documentation",Pune,Contract,2124334
488,Hotel Receptionist,FinEdge Solutions,"curriculum planning, classroom management, communication",Mumbai,Contract,859737
489,DevOps Engineer,DesignCrafters,"legal documentation, compliance, case review",Remote,Contract,1525179
490,Network Engineer,BuildRight Infra,"salesforce, CRM, negotiation",Bangalore,Full-time,1895153
491,Teacher,Global Travels,"check-in, phone etiquette, scheduling",Hyderabad,Full-time,1286560
492,UX Designer,InnovateX,"autocad, site planning, structural analysis",Delhi,Internship,1791704
493,Sales Executive,PharmaCare,"node.js, express, mongodb",Delhi,Full-time,1410939
494,Software Engineer,BrightFuture School,"prescription handling, pharma knowledge",Remote,Contract,764777
495,Graphic Designer,HealthFirst Clinic,"figma, user testing, wireframing",Mumbai,Contract,1798189
496,Graphic Designer,InnovateX,"sql, data analysis, tableau",Bangalore,Full-time,671807
497,Operations Manager,FinEdge Solutions,"sql, data analysis, tableau",Mumbai,Internship,1881440
498,AI Researcher,FinEdge Solutions,"python, pandas, numpy",Remote,Full-time,1138952
499,Web Developer,CreativeHub Agency,"curriculum planning, classroom management, communication",Hyderabad,Contract,729678
500,AI Researcher,DataWiz,"sql, data analysis, tableau",Hyderabad,Contract,1760450
501,Civil Engineer,DesignCrafters,"node.js, express, mongodb",Remote,Full-time,878126
502,Operations Manager,BuildRight Infra,"test case writing, selenium, bug tracking",Hyderabad,Full-time,1618880
503,Teacher,FinEdge Solutions,"legal documentation, compliance, case review",Mumbai,Part-time,532129
504,System Administrator,DesignCrafters,"event coordination, client management, budgeting",Mumbai,Full-time,1484317
505,Business Analyst,CloudNet,"python, pandas, numpy",Delhi,Internship,2439615
506,Sales Executive,BizConsult,"check-in, phone etiquette, scheduling",Pune,Full-time,2035941
507,Teacher,CloudNet,"figma, user testing, wireframing",Delhi,Internship,1016690
508,QA Analyst,DesignCrafters,"react, javascript, css",Mumbai,Contract,2274072
509,Pharmacist,InnovateX,"figma, user testing, wireframing",Pune,Full-time,1474426
510,UI/UX Designer,BrightFuture School,"excel, financial modeling, data interpretation",Bangalore,Internship,1353942
511,UX Designer,DesignCrafters,"typing, accuracy, database entry",Mumbai,Contract,1057617
512,Financial Analyst,DreamWeddings Inc.,"typing, accuracy, database entry",Bangalore,Internship,2237693
513,UX Designer,DesignCrafters,"python, pandas, numpy",Pune,Full-time,2169517
514,Customer Support Specialist,CreativeHub Agency,"aws, docker, kubernetes",Pune,Part-time,1372932
515,Data Scientist,TechNova,"curriculum planning, classroom management, communication",Pune,Part-time,1855135
516,Financial Analyst,BizConsult,"check-in, phone etiquette, scheduling",Hyderabad,Contract,1692847
517,Graphic Designer,InnovateX,"salesforce, CRM, negotiation",Pune,Contract,821563
518,Network Engineer,FinEdge Solutions,"curriculum planning, classroom management, communication",Bangalore,Full-time,1075635
519,Blockchain Developer,CreativeHub Agency,"salesforce, CRM, negotiation",Pune,Full-time,1253652
520,Frontend Developer,HealthFirst Clinic,"node.js, express, mongodb",Mumbai,Contract,2144449
521,Teacher,DevSolutions,"node.js, express, mongodb",Bangalore,Part-time,2217092
522,Web Developer,FinEdge Solutions,"node.js, express, mongodb",Remote,Internship,2160078
523,Game Developer,CreativeHub Agency,"check-in, phone etiquette, scheduling",Hyderabad,Part-time,2311977
524,Cloud Architect,EduWise Academy,"adobe photoshop, illustrator, creativity",Delhi,Contract,1187732
525,Mobile App Developer,HealthFirst Clinic,"aws, docker, kubernetes",Delhi,Contract,2497127
526,Account Director,DreamWeddings Inc.,"aws, docker, kubernetes",Remote,Contract,911387
527,Business Analyst,DevSolutions,"sql, data analysis, tableau",Remote,Contract,2238628
528,Product Manager,DevSolutions,"sql, data analysis, tableau",Mumbai,Part-time,1979759
529,Sales Executive,TechNova,"java, spring, hibernate",Delhi,Full-time,2424905
530,Data Entry Clerk,BizConsult,"react, javascript, css",Hyderabad,Part-time,1598087
531,Business Analyst,PharmaCare,"patient care, diagnosis, medical documentation",Bangalore,Part-time,1879123
532,Web Developer,HealthFirst Clinic,"react, javascript, css",Mumbai,Contract,1395252
533,Game Developer,BuildRight Infra,"sql, data analysis, tableau",Delhi,Part-time,1912325
534,ML Engineer,BizConsult,"figma, user testing, wireframing",Remote,Contract,1966369
535,Software Engineer,City Hospital,"python, pandas, numpy",Hyderabad,Full-time,768675
536,Civil Engineer,InnovateX,"sql, data analysis, tableau",Hyderabad,Full-time,2093911
537,UX Designer,DreamWeddings Inc.,"test case writing, selenium, bug tracking",Bangalore,Contract,858061
538,UX Designer,DreamWeddings Inc.,"figma, user testing, wireframing",Bangalore,Part-time,1631461
539,Nurse Practitioner,HealthFirst Clinic,"sql, data visualization, problem solving",Pune,Full-time,1776996
540,Network Engineer,PharmaCare,"java, spring, hibernate",Bangalore,Part-time,2439918
541,Financial Analyst,DevSolutions,"sql, data visualization, problem solving",Delhi,Full-time,2197130
542,Restaurant Manager,DevSolutions,"salesforce, CRM, negotiation",Remote,Contract,1804092
543,Hotel Receptionist,InnovateX,"sql, data analysis, tableau",Remote,Internship,1587033
544,Customer Support Specialist,EduWise Academy,"sql, data visualization, problem solving",Bangalore,Full-time,1296418
545,Civil Engineer,DataWiz,"react, javascript, css",Pune,Part-time,1593756
546,Data Entry Clerk,EduWise Academy,"figma, user testing, wireframing",Mumbai,Contract,1030344
547,Financial Analyst,HealthFirst Clinic,"sql, data analysis, tableau",Bangalore,Internship,2466805
548,Technical Writer,DevSolutions,"customer service, ticketing, troubleshooting",Pune,Full-time,1827210
549,Frontend Developer,PharmaCare,"salesforce, CRM, negotiation",Bangalore,Full-time,2231126
550,Marketing Manager,EduWise Academy,"typing, accuracy, database entry",Remote,Contract,2328253
551,Web Developer,PharmaCare,"sql, data visualization, problem solving",Pune,Contract,1261328
552,Mobile App Developer,DreamWeddings Inc.,"autocad, site planning, structural analysis",Bangalore,Contract,1042842
553,UI/UX Designer,HealthFirst Clinic,"excel, financial modeling, data interpretation",Delhi,Part-time,1150757
554,Product Manager,EduWise Academy,"client relations, campaign strategy, presentations",Delhi,Internship,515243
555,Hotel Receptionist,DataWiz,"typing, accuracy, database entry",Remote,Internship,895218
556,Sales Executive,HealthFirst Clinic,"java, spring, hibernate",Hyderabad,Part-time,1224288
557,Restaurant Manager,InnovateX,"interviewing, HR software, conflict resolution",Remote,Part-time,889793
558,Data Scientist,CreativeHub Agency,"salesforce, CRM, negotiation",Pune,Internship,1593320
559,Legal Advisor,TechNova,"event coordination, client management, budgeting",Delhi,Internship,2424333
560,Business Analyst,EduWise Academy,"curriculum planning, classroom management, communication",Remote,Full-time,1853565
561,Graphic Designer,TechNova,"curriculum planning, classroom management, communication",Pune,Part-time,1942694
562,Game Developer,BizConsult,"prescription handling, pharma knowledge",Pune,Internship,876372
563,ML Engineer,EduWise Academy,"patient care, diagnosis, medical documentation",Delhi,Full-time,1914363
564,Sales Executive,DesignCrafters,"client relations, campaign strategy, presentations",Delhi,Part-time,687793
565,Blockchain Developer,PharmaCare,"node.js, express, mongodb",Delhi,Internship,1211027
566,UX Designer,DreamWeddings Inc.,"check-in, phone etiquette, scheduling",Hyderabad,Part-time,1015078
567,Product Manager,HealthFirst Clinic,"excel, financial modeling, data interpretation",Delhi,Contract,2325792
568,Data Entry Clerk,FinEdge Solutions,"salesforce, CRM, negotiation",Mumbai,Full-time,698958
569,Teacher,FinEdge Solutions,"sql, data visualization, problem solving",Delhi,Full-time,1550873
570,Customer Support Specialist,HealthFirst Clinic,"check-in, phone etiquette, scheduling",Remote,Part-time,683845
571,Backend Engineer,DreamWeddings Inc.,"node.js, express, mongodb",Bangalore,Part-time,1117670
572,Blockchain Developer,InnovateX,"sql, data analysis, tableau",Pune,Internship,1215316
573,Graphic Designer,BrightFuture School,"interviewing, HR software, conflict resolution",Hyderabad,Full-time,1594820
574,Hotel Receptionist,EduWise Academy,"inventory, hospitality management, POS systems",Delhi,Contract,2346196
575,Technical Writer,BuildRight Infra,"client relations, campaign strategy, presentations",Pune,Internship,1552683
576,Web Developer,BrightFuture School,"salesforce, CRM, negotiation",Remote,Part-time,2238733
577,Database Administrator,City Hospital,"salesforce, CRM, negotiation",Mumbai,Internship,1984614
578,Sales Executive,CreativeHub Agency,"python, pandas, numpy",Delhi,Full-time,2014418
579,Technical Writer,BrightFuture School,"typing, accuracy, database entry",Mumbai,Full-time,777883
580,HR Coordinator,DesignCrafters,"salesforce, CRM, negotiation",Delhi,Full-time,1892349
581,Account Director,PharmaCare,"interviewing, HR software, conflict resolution",Hyderabad,Internship,2232564
582,Legal Advisor,DataWiz,"figma, user testing, wireframing",Bangalore,Full-time,1294351
583,Operations Manager,TechNova,"client relations, campaign strategy, presentations",Bangalore,Part-time,2374576
584,Legal Advisor,BuildRight Infra,"java, spring, hibernate",Mumbai,Contract,1303292
585,Data Scientist,CloudNet,"node.js, express, mongodb",Mumbai,Contract,1467281
586,Legal Advisor,City Hospital,"prescription handling, pharma knowledge",Bangalore,Full-time,698981
587,Teacher,FinEdge Solutions,"interviewing, HR software, conflict resolution",Remote,Full-time,2289083
588,Mobile App Developer,CreativeHub Agency,"patient care, diagnosis, medical documentation",Remote,Full-time,627016
589,Data Entry Clerk,DreamWeddings Inc.,"sql, data visualization, problem solving",Bangalore,Contract,892226
590,System Administrator,DevSolutions,"customer service, ticketing, troubleshooting",Mumbai,Internship,1081146
591,HR Coordinator,CreativeHub Agency,"client relations, campaign strategy, presentations",Bangalore,Part-time,1016442
592,Operations Manager,Global Travels,"node.js, express, mongodb",Delhi,Contract,1452780
593,Data Scientist,FinEdge Solutions,"check-in, phone etiquette, scheduling",Delhi,Part-time,1254246
594,Operations Manager,TechNova,"sql, data analysis, tableau",Pune,Contract,977135
595,Business Analyst,CloudNet,"customer service, ticketing, troubleshooting",Delhi,Contract,1516411
596,Software Engineer,CreativeHub Agency,"salesforce, CRM, negotiation",Bangalore,Contract,1106547
597,Data Scientist,DreamWeddings Inc.,"autocad, site planning, structural analysis",Delhi,Full-time,829835
598,Restaurant Manager,PharmaCare,"client relations, campaign strategy, presentations",Pune,Internship,1458444
599,Restaurant Manager,PharmaCare,"react, javascript, css",Remote,Full-time,1046703
600,UI/UX Designer,BrightFuture School,"customer service, ticketing, troubleshooting",Remote,Contract,1736171
601,Financial Analyst,BuildRight Infra,"customer service, ticketing, troubleshooting",Pune,Full-time,1139164
602,Network Engineer,DesignCrafters,"customer service, ticketing, troubleshooting",Mumbai,Part-time,746831
603,Data Scientist,InnovateX,"inventory, hospitality management, POS systems",Pune,Internship,783370
604,AI Researcher,DataWiz,"excel, financial modeling, data interpretation",Mumbai,Full-time,1253555
605,Cloud Architect,BuildRight Infra,"adobe photoshop, illustrator, creativity",Remote,Full-time,2328655
606,Database Administrator,City Hospital,"salesforce, CRM, negotiation",Delhi,Full-time,984953
607,Teacher,CreativeHub Agency,"event coordination, client management, budgeting",Bangalore,Part-time,875592
608,Operations Manager,DesignCrafters,"adobe photoshop, illustrator, creativity",Pune,Full-time,709121
609,AI Researcher,BuildRight Infra,"legal documentation, compliance, case review",Pune,Part-time,2453023
610,Hotel Receptionist,InnovateX,"salesforce, CRM, negotiation",Delhi,Internship,933634
611,Sales Executive,BizConsult,"salesforce, CRM, negotiation",Delhi,Contract,2420522
612,Database Administrator,BuildRight Infra,"figma, user testing, wireframing",Hyderabad,Contract,1093563
613,Database Administrator,Global Travels,"prescription handling, pharma knowledge",Hyderabad,Full-time,961024
614,UI/UX Designer,InnovateX,"legal documentation, compliance, case review",Bangalore,Contract,1961162
615,Product Manager,DevSolutions,"legal documentation, compliance, case review",Delhi,Contract,2497992
616,Blockchain Developer,HealthFirst Clinic,"sql, data analysis, tableau",Pune,Full-time,2211221
